pwd_id,job_id,skill_coverage,suitability_fraction,education_fraction,semantic_similarity,disability_listed,label,label_gated,score
PWD-LB-2024-0042,JOB-001,0.7500,0.4433,1.0000,1.0000,0,1,1,77
PWD-LB-2024-0042,JOB-002,0.4800,0.4433,1.0000,0.5179,0,1,1,56
PWD-LB-2024-0042,JOB-003,0.3500,0.9100,1.0000,0.0826,0,1,0,52
PWD-LB-2024-0042,JOB-004,0.8500,0.4433,1.0000,0.7075,0,1,1,74
PWD-LB-2024-0042,JOB-005,0.8500,0.6767,1.0000,0.8789,0,1,1,84
PWD-LB-2024-0042,JOB-006,0.7000,0.6767,1.0000,0.3320,0,1,1,65
PWD-LB-2024-0042,JOB-007,0.5600,0.4433,1.0000,0.2821,0,1,1,53
PWD-LB-2024-0042,JOB-008,0.0000,0.4433,1.0000,0.0678,0,0,0,28
PWD-LB-2024-0042,JOB-009,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0042,JOB-010,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0042,JOB-011,0.0000,0.4433,1.0000,0.0000,0,0,0,26
PWD-LB-2024-0042,JOB-012,0.0000,0.2100,1.0000,0.1548,0,0,0,24
PWD-LB-2024-0042,JOB-013,0.0000,0.4433,1.0000,0.0000,0,0,0,26
PWD-LB-2024-0043,JOB-001,0.7500,0.9100,1.0000,1.0000,0,1,1,89
PWD-LB-2024-0043,JOB-002,0.4800,0.9100,1.0000,0.2900,0,1,1,62
PWD-LB-2024-0043,JOB-003,0.0000,0.9100,1.0000,0.0000,0,0,0,38
PWD-LB-2024-0043,JOB-004,0.7500,0.9100,1.0000,0.7390,0,1,1,82
PWD-LB-2024-0043,JOB-005,0.2500,0.9100,1.0000,0.1260,0,1,0,50
PWD-LB-2024-0043,JOB-006,0.2500,0.9100,1.0000,0.1142,0,1,0,49
PWD-LB-2024-0043,JOB-007,0.5600,0.9100,1.0000,0.3306,0,1,1,66
PWD-LB-2024-0043,JOB-008,0.0000,0.2100,1.0000,0.1048,0,0,0,23
PWD-LB-2024-0043,JOB-009,0.0000,0.2100,1.0000,0.1524,0,0,0,24
PWD-LB-2024-0043,JOB-010,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0043,JOB-011,0.0000,0.9100,1.0000,0.0000,0,0,0,38
PWD-LB-2024-0043,JOB-012,0.0000,0.2100,1.0000,0.1933,0,0,0,25
PWD-LB-2024-0043,JOB-013,0.0000,0.9100,1.0000,0.0000,0,0,0,38
PWD-LB-2024-0044,JOB-001,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0044,JOB-002,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0044,JOB-003,0.4500,0.2100,1.0000,0.3137,0,1,1,44
PWD-LB-2024-0044,JOB-004,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0044,JOB-005,0.1000,0.2100,1.0000,0.0000,0,0,0,24
PWD-LB-2024-0044,JOB-006,0.1000,0.2100,1.0000,0.0000,0,0,0,24
PWD-LB-2024-0044,JOB-007,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0044,JOB-008,1.0000,0.2100,1.0000,1.0000,0,1,1,80
PWD-LB-2024-0044,JOB-009,0.0000,0.5600,1.0000,0.0000,0,0,0,29
PWD-LB-2024-0044,JOB-010,0.0000,0.5600,1.0000,0.0000,0,0,0,29
PWD-LB-2024-0044,JOB-011,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0044,JOB-012,0.0000,0.5600,1.0000,0.0000,0,0,0,29
PWD-LB-2024-0044,JOB-013,0.6000,0.5600,1.0000,0.4790,0,1,1,62
PWD-LB-2024-0045,JOB-001,0.0000,0.2100,0.3000,0.0000,0,0,0,10
PWD-LB-2024-0045,JOB-002,0.0000,0.2100,0.1000,0.0000,0,0,0,7
PWD-LB-2024-0045,JOB-003,0.0000,0.5600,0.1000,0.0000,0,0,0,15
PWD-LB-2024-0045,JOB-004,0.0000,0.2100,0.1000,0.0000,0,0,0,7
PWD-LB-2024-0045,JOB-005,0.0000,0.2100,0.3000,0.0000,0,0,0,10
PWD-LB-2024-0045,JOB-006,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0045,JOB-007,0.0000,0.2100,0.1000,0.0000,0,0,0,7
PWD-LB-2024-0045,JOB-008,0.0000,0.5600,0.3000,0.0000,0,0,0,19
PWD-LB-2024-0045,JOB-009,1.0000,0.9100,1.0000,0.9920,0,1,1,98
PWD-LB-2024-0045,JOB-010,0.0000,0.9100,1.0000,0.2062,0,1,0,43
PWD-LB-2024-0045,JOB-011,0.0000,0.5600,1.0000,0.0000,0,0,0,29
PWD-LB-2024-0045,JOB-012,1.0000,0.9100,1.0000,1.0000,0,1,1,98
PWD-LB-2024-0045,JOB-013,0.0000,0.9100,0.6000,0.0000,0,0,0,32
PWD-LB-2024-0046,JOB-001,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0046,JOB-002,0.0000,0.2100,0.3000,0.0000,0,0,0,10
PWD-LB-2024-0046,JOB-003,0.0000,0.9100,0.3000,0.0000,0,0,0,27
PWD-LB-2024-0046,JOB-004,0.0000,0.2100,0.3000,0.0000,0,0,0,10
PWD-LB-2024-0046,JOB-005,0.0000,0.2100,1.0000,0.0545,0,0,0,22
PWD-LB-2024-0046,JOB-006,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0046,JOB-007,0.0000,0.2100,0.3000,0.0000,0,0,0,10
PWD-LB-2024-0046,JOB-008,0.0000,0.9100,1.0000,0.0000,0,0,0,38
PWD-LB-2024-0046,JOB-009,0.0000,0.9100,1.0000,0.0000,0,0,0,38
PWD-LB-2024-0046,JOB-010,1.0000,0.9100,1.0000,1.0000,0,1,1,98
PWD-LB-2024-0046,JOB-011,1.0000,0.9100,1.0000,0.9055,0,1,1,95
PWD-LB-2024-0046,JOB-012,0.0000,0.9100,1.0000,0.0000,0,0,0,38
PWD-LB-2024-0046,JOB-013,0.0000,0.9100,1.0000,0.0000,0,0,0,38
PWD-LB-2024-0047,JOB-001,0.0000,0.2100,0.6000,0.0436,0,0,0,15
PWD-LB-2024-0047,JOB-002,0.0000,0.2100,0.1000,0.0000,0,0,0,7
PWD-LB-2024-0047,JOB-003,0.1000,0.2100,0.1000,0.1330,0,0,0,14
PWD-LB-2024-0047,JOB-004,0.0000,0.2100,0.1000,0.0426,0,0,0,8
PWD-LB-2024-0047,JOB-005,0.0000,0.2100,0.6000,0.0000,0,0,0,14
PWD-LB-2024-0047,JOB-006,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0047,JOB-007,0.0000,0.2100,0.1000,0.0413,0,0,0,8
PWD-LB-2024-0047,JOB-008,0.7000,0.2100,0.6000,0.5329,0,1,1,52
PWD-LB-2024-0047,JOB-009,0.0000,0.9100,1.0000,0.0381,0,0,0,39
PWD-LB-2024-0047,JOB-010,0.0000,0.9100,1.0000,0.0000,0,0,0,38
PWD-LB-2024-0047,JOB-011,0.0000,0.2100,1.0000,0.0000,0,0,0,20
PWD-LB-2024-0047,JOB-012,0.0000,0.9100,1.0000,0.0482,0,0,0,39
PWD-LB-2024-0047,JOB-013,1.0000,0.9100,1.0000,1.0000,0,1,1,98
PWD-LB-2024-0048,JOB-001,0.1000,0.2100,1.0000,0.0000,0,0,0,24
