Applicant_ID,Preferred_Job,Rank,Job_ID,Job_Title,Similarity
PWD0001,Data Entry Clerk,1,JOB001,Data Entry Clerk,0.6811
PWD0001,Data Entry Clerk,2,JOB021,Data Entry Clerk,0.6811
PWD0001,Data Entry Clerk,3,JOB061,Data Entry Clerk,0.6811
PWD0001,Data Entry Clerk,4,JOB041,Data Entry Clerk,0.6811
PWD0001,Data Entry Clerk,5,JOB081,Data Entry Clerk,0.6811
PWD0002,Customer Service Representative,1,JOB002,Customer Service Representative,0.7809
PWD0002,Customer Service Representative,2,JOB022,Customer Service Representative,0.7809
PWD0002,Customer Service Representative,3,JOB062,Customer Service Representative,0.7809
PWD0002,Customer Service Representative,4,JOB042,Customer Service Representative,0.7809
PWD0002,Customer Service Representative,5,JOB082,Customer Service Representative,0.7809
PWD0003,Graphic Designer,1,JOB003,Graphic Designer,0.69
PWD0003,Graphic Designer,2,JOB023,Graphic Designer,0.69
PWD0003,Graphic Designer,3,JOB063,Graphic Designer,0.69
PWD0003,Graphic Designer,4,JOB043,Graphic Designer,0.69
PWD0003,Graphic Designer,5,JOB083,Graphic Designer,0.69
PWD0004,Kitchen Assistant,1,JOB004,Kitchen Assistant,0.8319
PWD0004,Kitchen Assistant,2,JOB024,Kitchen Assistant,0.8319
PWD0004,Kitchen Assistant,3,JOB064,Kitchen Assistant,0.8319
PWD0004,Kitchen Assistant,4,JOB044,Kitchen Assistant,0.8319
PWD0004,Kitchen Assistant,5,JOB084,Kitchen Assistant,0.8319
PWD0005,Junior Web Developer,1,JOB005,Junior Web Developer,0.6943
PWD0005,Junior Web Developer,2,JOB025,Junior Web Developer,0.6943
PWD0005,Junior Web Developer,3,JOB045,Junior Web Developer,0.6943
PWD0005,Junior Web Developer,4,JOB065,Junior Web Developer,0.6943
PWD0005,Junior Web Developer,5,JOB085,Junior Web Developer,0.6943
PWD0006,Accounting Assistant,1,JOB006,Accounting Assistant,0.6127
PWD0006,Accounting Assistant,2,JOB026,Accounting Assistant,0.6127
PWD0006,Accounting Assistant,3,JOB046,Accounting Assistant,0.6127
PWD0006,Accounting Assistant,4,JOB066,Accounting Assistant,0.6127
PWD0006,Accounting Assistant,5,JOB086,Accounting Assistant,0.6127
PWD0007,Content Writer,1,JOB007,Content Writer,0.6835
PWD0007,Content Writer,2,JOB027,Content Writer,0.6835
PWD0007,Content Writer,3,JOB047,Content Writer,0.6835
PWD0007,Content Writer,4,JOB067,Content Writer,0.6835
PWD0007,Content Writer,5,JOB087,Content Writer,0.6835
